"Text"
"meanwhile glasgow equestrian wellington statue statue arthur wellesley 1st duke wellington located royal exchange square glasgow scotland located outside gallery modern art near end ingram street erected 1844"
"glasgowstatue duke wellington almost perpetual traffic cone head determined expensive city keep removing"
"showed mum duke wellington statue"
"group pull duke wellington statue replace"
"glasgowduke wellington statue allowed keep traffic cone head local council every time removed last years new one would appear within days costing £10000 year remove"
"part statue duke wellington cast guns captured french london troops memorial statue engineer james henry greathead inventor tunneling shield used build worlds first electric railway"
"cone head duke wellington statue glasgow city centre"
"duke wellington statue glasgow scotland"
"except duke wellington statue glasgow itlong tradition drunk people putting cones head coz working class scots hilarious fuck bullshit begging rts"
"marvellous masterpieces making headlines charlie made front page scottishfarmer recreation famous artwork charlie remembered trip saw duke wellington statue glasgow artinaction learnbydoing artineverything prepschool"
"traditionally statue 1st duke wellington always wearing orange cone wouldnbe without"
"strongly recommend nobody try duke wellington statue glasgow"
"alternative suggestion fate duke wellington statue remove duke keep horse glaswegians take hourly shifts sitting horse traffic cone head civic duty peoplemakeglasgow"
"duke wellington statue complete obligatory traffic cone one glasgow iconic sights glasgow glasgowlife glasgowcity dukeofwellington statue ilovegla iloveglasgow…"
"duke wellington statue aldershot allegedly pointing way training areas troops"
"statue hated duke wellington blm cone glasgow scotland"
"therereason ireland widely known rowdy joyous song time duke wellingtonstatue blown"
"statue achilles hyde park london bronze near-naked warrior nothing achilles would seem strange tribute duke wellington women britain click link"
"speaking outsider fucking horrible statue statue celebrating 1829 irish emancipation act kneeling man irish standing man duke wellington statue would blown within month"
"found replacement duke wellington statue glasgow"
"bigger question think statue duke wellington towering capital city think thatway offensive"
"put traffuc cone statue keeps duke wellington safe glasgow"
"traffic cones handy mocking defanging statue hated oppressor english duke wellington glasgow scotland worn cone long enough become local mascot"
"beethoven also wrote battle symphony aka wellington victory commemorate duke wellington victory battle vittoria 1813 great duke statue glasgow already cross-hairs marxist cancel culture others doubt follow"
"itbe really cool glaswegians tore statue duke wellington thatconstantly vandalised anyway"
"read plans topple duke wellington statue glasgow inot happy put iconic traffic cone currently sports blm cone covid mask"
"maybe dramatic 1840s statue duke wellington horse one first things visitors edinburgh see exit waverley station amp well-known landmark east end princes street outlived usefulness"
"north speculating duke wellington statue could get toppled next glasgow would lose itonly fun past-time giving traffic cone hat"
"statue duke wellington horse east end princes street edinburgh opposite old central post office story kid every day heard one clock gun went buy stamp"
"glasgowduke wellington could moved statue graveyard"
"someone climb duke wellington statue grab cone head george square rest glasgow vanish thin air magic mysticism cone problem solved"
"glasgow duke wellington could stay statue important obvious reasons"
"duke wellington statue glasgow dukeofwellington glasgow goma scotland bnwphotography bnw cityphotography citybnw blackandwhitephotography bnw monochrome blackandwhitephotographymagazine spicollective glasgowphotogal"
"iwith last five words war war civilisation-hating homo sapiens-hating hippy-communist vermin would personally hang every statue-defacing piece shit duke wellington said never apologise never explain"
"protest edinburgh 11am statue duke wellington please come along struggles one freedom justice"
"duke wellington statue outside glasgow gallery modern art make-over usual traffic cone changed black one plus blm symbol ppe mask added"
"scenes george square yesterday disgusting arguably one glasgowproudest form self expression vandalism duke wellington statue guy cone head protect statues arse bunch racist bastards"
"photo duke wellington statue gallery modern art glasgow something make smile current virus situation"
"sweetheart study thing called history fucking popularity contest met duke wellington person either pretty sure deserves statue making sure grow driving citroen eating frogs legs"
"wer weiss dass das chef-schwein orwells animal farm napoleon hiess dürfte nicht überrascht sein glasgowfamous duke wellington statue could next toppled blm protests"
"duke wellington statue outside glasgowgallery modern art famously wears traffic cone head changed black one blm symbol added protective face mask"
"cunts much touch duke wellington statue robert bruce statuethrowing hands"
